id_venda,id_pedido,cpf_cliente,data_venda,data_entrega,produto_id,produto_nome,categoria_produto,quantidade,valor_unitario,desconto,valor_total,custo,canal_venda,status_venda,forma_pagamento,parcelas,vendedor_id,loja_id
11,PED-20250520-000011,16919546248,2025-05-20T09:18:57.682864,2025-05-28T09:18:57.682864,VEST-001,Camiseta Polo Masculina,Vestuário,1,149.59,29.92,119.67,63.9,ECOMMERCE,CONCLUIDA,PIX,1,VND008,
12,PED-20250522-000012,35477245549,2025-05-22T10:55:57.682864,2025-06-01T10:55:57.682864,CASA-002,Aspirador Robô iRobot,Casa,1,2458.47,0.0,2458.47,1606.39,TELEVENDAS,CONCLUIDA,PIX,1,VND007,
13,PED-20250829-000013,62513572408,2025-08-29T10:45:57.682864,2025-09-07T10:45:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,1,515.63,0.0,515.63,247.13,APP_MOBILE,CONCLUIDA,CARTAO_CREDITO,12,VND020,
14,PED-20250707-000014,92241549304,2025-07-07T15:05:57.682864,2025-07-12T15:05:57.682864,ELET-005,iPad Air 5ª Geração,Eletrônicos,1,5102.39,0.0,5102.39,2939.52,APP_MOBILE,CONCLUIDA,BOLETO,1,VND020,
15,PED-20250518-000015,17948442367,2025-05-18T03:28:57.682864,2025-05-24T03:28:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,423.79,63.57,360.22,249.21,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,6,VND045,
16,PED-20251022-000016,04178441159,2025-10-22T13:57:57.682864,2025-10-25T13:57:57.682864,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,89.88,0.0,89.88,61.79,ECOMMERCE,CONCLUIDA,PIX,1,VND024,
17,PED-20250421-000017,27291186838,2025-04-21T08:58:57.682864,2025-04-25T08:58:57.682864,CALC-002,Bota Couro Timberland,Calçados,1,1018.61,0.0,1018.61,543.69,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,3,VND040,
18,PED-20251012-000018,24530593606,2025-10-12T13:59:57.682864,2025-10-15T13:59:57.682864,VEST-001,Camiseta Polo Masculina,Vestuário,1,225.63,0.0,225.63,131.39,ECOMMERCE,CONCLUIDA,PIX,1,VND027,
19,PED-20250519-000019,00554378698,2025-05-19T01:45:57.682864,2025-05-28T01:45:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,3,550.14,247.56,1402.86,696.88,ECOMMERCE,CONCLUIDA,PIX,1,VND020,
20,PED-20250527-000020,55386382608,2025-05-27T10:07:57.682864,2025-06-01T10:07:57.682864,CALC-002,Bota Couro Timberland,Calçados,1,1026.22,0.0,1026.22,445.24,ECOMMERCE,CONCLUIDA,CARTAO_DEBITO,1,VND027,
21,PED-20250919-000021,26326511402,2025-09-19T14:28:57.682864,2025-09-23T14:28:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,164.96,0.0,164.96,118.79,LOJA_FISICA,CONCLUIDA,CARTAO_CREDITO,1,VND037,LOJA02
22,PED-20250820-000022,72074934521,2025-08-20T03:52:57.682864,2025-08-27T03:52:57.682864,CALC-001,Tênis Nike Air Max 270,Calçados,3,874.21,0.0,2622.63,1556.4,LOJA_FISICA,CONCLUIDA,PIX,1,VND006,LOJA14
23,PED-20250421-000023,02717538976,2025-04-21T10:48:57.682864,,ELET-003,"Smart TV 55"" LG OLED",Eletrônicos,2,3672.4,0.0,7344.8,4944.72,ECOMMERCE,CANCELADA,CARTAO_CREDITO,12,VND004,
24,PED-20250828-000024,07133496623,2025-08-28T06:16:57.682864,2025-09-05T06:16:57.682864,CASA-002,Aspirador Robô iRobot,Casa,1,2928.97,0.0,2928.97,1589.27,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,3,VND041,
25,PED-20250529-000025,79199563231,2025-05-29T14:24:57.682864,2025-06-06T14:24:57.682864,ELET-003,"Smart TV 55"" LG OLED",Eletrônicos,1,6607.16,0.0,6607.16,4192.03,ECOMMERCE,CONCLUIDA,CARTAO_DEBITO,1,VND043,
26,PED-20250920-000026,82100404806,2025-09-20T10:57:57.682864,2025-09-23T10:57:57.682864,ELET-005,iPad Air 5ª Geração,Eletrônicos,1,5917.2,0.0,5917.2,2842.77,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND050,
27,PED-20251025-000027,29407901831,2025-10-25T09:22:57.682864,2025-10-28T09:22:57.682864,ELET-003,"Smart TV 55"" LG OLED",Eletrônicos,1,3990.11,399.01,3591.1,1793.43,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,2,VND044,
28,PED-20250608-000028,04469413526,2025-06-08T06:10:57.682864,2025-06-13T06:10:57.682864,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,143.92,0.0,143.92,60.48,APP_MOBILE,CONCLUIDA,BOLETO,1,VND031,
29,PED-20250502-000029,65698611157,2025-05-02T15:34:57.682864,2025-05-06T15:34:57.682864,CASA-002,Aspirador Robô iRobot,Casa,1,2585.99,0.0,2585.99,1759.26,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND039,
30,PED-20251120-000030,61463985860,2025-11-20T15:23:57.682864,2025-11-23T15:23:57.682864,ELET-001,Smartphone Samsung Galaxy A54,Eletrônicos,1,1764.95,0.0,1764.95,1096.35,LOJA_FISICA,CONCLUIDA,PIX,1,VND046,LOJA13
31,PED-20250514-000031,29951489397,2025-05-14T11:15:57.682864,2025-05-20T11:15:57.682864,VEST-001,Camiseta Polo Masculina,Vestuário,1,169.79,0.0,169.79,76.66,LOJA_FISICA,CONCLUIDA,PIX,1,VND030,LOJA02
32,PED-20250903-000032,27657790580,2025-09-03T12:12:57.682864,2025-09-10T12:12:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,247.81,0.0,247.81,117.95,APP_MOBILE,CONCLUIDA,CARTAO_CREDITO,1,VND001,
33,PED-20251014-000033,29407901831,2025-10-14T08:09:57.682864,,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,164.21,8.21,156.0,69.47,LOJA_FISICA,CANCELADA,PIX,1,VND036,LOJA08
34,PED-20250925-000034,02403164879,2025-09-25T11:51:57.682864,2025-09-28T11:51:57.682864,CALC-001,Tênis Nike Air Max 270,Calçados,1,520.21,52.02,468.19,242.67,LOJA_FISICA,CONCLUIDA,BOLETO,1,VND007,LOJA04
35,PED-20250620-000035,24021504753,2025-06-20T09:18:57.682864,2025-06-24T09:18:57.682864,ELET-001,Smartphone Samsung Galaxy A54,Eletrônicos,1,1593.4,0.0,1593.4,838.01,ECOMMERCE,CONCLUIDA,PIX,1,VND031,
36,PED-20260108-000036,40467750416,2026-01-08T07:06:57.682864,2026-01-16T07:06:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,574.03,57.4,516.63,252.12,ECOMMERCE,CONCLUIDA,BOLETO,1,VND046,
37,PED-20260117-000037,04469413526,2026-01-17T02:21:57.682864,2026-01-25T02:21:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,1,414.11,82.82,331.29,151.55,TELEVENDAS,CONCLUIDA,CARTAO_CREDITO,3,VND044,
38,PED-20250820-000038,40043074731,2025-08-20T11:57:57.682864,2025-08-28T11:57:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,317.29,15.86,301.43,126.59,ECOMMERCE,CONCLUIDA,PIX,1,VND024,
39,PED-20250508-000039,05778359047,2025-05-08T15:47:57.682864,2025-05-13T15:47:57.682864,LIVR-001,Livro - O Poder do Hábito,Livros,1,44.2,0.0,44.2,27.23,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND041,
40,PED-20260228-000040,27657790580,2026-02-28T13:44:57.682864,2026-03-05T13:44:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,168.59,0.0,168.59,85.58,LOJA_FISICA,CONCLUIDA,PIX,1,VND027,LOJA19
41,PED-20250612-000041,82425154922,2025-06-12T03:53:57.682864,2025-06-19T03:53:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,352.22,0.0,352.22,195.84,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,6,VND010,
42,PED-20250708-000042,74610487160,2025-07-08T09:44:57.682864,2025-07-12T09:44:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,228.98,0.0,228.98,125.75,APP_MOBILE,CONCLUIDA,BOLETO,1,VND040,
43,PED-20250523-000043,18843946714,2025-05-23T05:23:57.682864,2025-05-31T05:23:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,577.49,86.62,490.87,340.31,APP_MOBILE,CONCLUIDA,PIX,1,VND028,
44,PED-20250704-000044,04509193238,2025-07-04T13:50:57.682864,2025-07-10T13:50:57.682864,CASA-002,Aspirador Robô iRobot,Casa,1,2335.41,0.0,2335.41,1424.83,LOJA_FISICA,CONCLUIDA,CARTAO_CREDITO,6,VND018,LOJA06
45,PED-20250506-000045,02416870807,2025-05-06T10:05:57.682864,2025-05-10T10:05:57.682864,VEST-001,Camiseta Polo Masculina,Vestuário,2,89.47,0.0,178.94,99.58,ECOMMERCE,CONCLUIDA,PIX,1,VND024,
46,PED-20250525-000046,22617780589,2025-05-25T07:04:57.682864,2025-05-30T07:04:57.682864,CALC-002,Bota Couro Timberland,Calçados,1,1157.47,0.0,1157.47,515.1,APP_MOBILE,DEVOLVIDA,CARTAO_CREDITO,3,VND017,
47,PED-20250423-000047,25028456615,2025-04-23T03:06:57.682864,2025-04-28T03:06:57.682864,ELET-002,Notebook Dell Inspiron 15,Eletrônicos,1,4004.29,0.0,4004.29,2807.46,LOJA_FISICA,CONCLUIDA,CARTAO_CREDITO,3,VND002,LOJA01
48,PED-20250713-000048,78978753426,2025-07-13T02:21:57.682864,2025-07-22T02:21:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,1,498.52,99.7,398.82,198.11,ECOMMERCE,CONCLUIDA,PIX,1,VND013,
49,PED-20251024-000049,34356977173,2025-10-24T10:15:57.682864,2025-11-02T10:15:57.682864,LIVR-001,Livro - O Poder do Hábito,Livros,1,38.43,7.69,30.74,16.62,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND024,
50,PED-20250513-000050,25028456615,2025-05-13T05:17:57.682864,2025-05-20T05:17:57.682864,LIVR-001,Livro - O Poder do Hábito,Livros,1,39.93,0.0,39.93,17.33,LOJA_FISICA,CONCLUIDA,CARTAO_CREDITO,1,VND024,LOJA05
51,PED-20250430-000051,11340986000,2025-04-30T05:25:57.682864,2025-05-06T05:25:57.682864,ELET-002,Notebook Dell Inspiron 15,Eletrônicos,1,5144.09,0.0,5144.09,2889.4,TELEVENDAS,CONCLUIDA,CARTAO_CREDITO,12,VND021,
52,PED-20250826-000052,04433772003,2025-08-26T09:51:57.682864,2025-09-04T09:51:57.682864,ELET-001,Smartphone Samsung Galaxy A54,Eletrônicos,1,1268.7,253.74,1014.96,518.0,ECOMMERCE,DEVOLVIDA,CARTAO_CREDITO,12,VND046,
53,PED-20250531-000053,65698611157,2025-05-31T14:18:57.682864,2025-06-04T14:18:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,1,641.23,0.0,641.23,353.22,ECOMMERCE,CONCLUIDA,BOLETO,1,VND030,
54,PED-20250521-000054,40493641742,2025-05-21T14:40:57.682864,2025-05-25T14:40:57.682864,CALC-002,Bota Couro Timberland,Calçados,1,771.83,115.77,656.06,275.43,ECOMMERCE,DEVOLVIDA,CARTAO_CREDITO,3,VND043,
55,PED-20250421-000055,92241549304,2025-04-21T04:13:57.682864,2025-04-30T04:13:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,237.01,0.0,237.01,171.7,APP_MOBILE,CONCLUIDA,CARTAO_CREDITO,6,VND044,
56,PED-20250626-000056,80832357170,2025-06-26T08:29:57.682864,2025-07-05T08:29:57.682864,ELET-003,"Smart TV 55"" LG OLED",Eletrônicos,1,4940.62,741.09,4199.53,2278.66,ECOMMERCE,CONCLUIDA,PIX,1,VND006,
57,PED-20251026-000057,69361234730,2025-10-26T15:20:57.682864,2025-11-05T15:20:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,2,374.42,74.88,673.96,441.71,APP_MOBILE,CONCLUIDA,CARTAO_CREDITO,2,VND040,
58,PED-20250719-000058,05778359047,2025-07-19T08:42:57.682864,2025-07-23T08:42:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,228.79,0.0,228.79,170.73,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,2,VND029,
59,PED-20250819-000059,54571113935,2025-08-19T10:06:57.682864,2025-08-25T10:06:57.682864,VEST-001,Camiseta Polo Masculina,Vestuário,1,223.8,0.0,223.8,129.91,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,3,VND032,
60,PED-20260221-000060,35477245549,2026-02-21T15:39:57.682864,2026-03-01T15:39:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,1,574.29,0.0,574.29,362.47,APP_MOBILE,CONCLUIDA,CARTAO_CREDITO,1,VND013,
61,PED-20250613-000061,09601751726,2025-06-13T09:42:57.682864,2025-06-16T09:42:57.682864,CALC-001,Tênis Nike Air Max 270,Calçados,1,859.44,171.89,687.55,291.41,APP_MOBILE,CONCLUIDA,PIX,1,VND044,
62,PED-20250622-000062,61463985860,2025-06-22T15:52:57.682864,2025-06-30T15:52:57.682864,CASA-002,Aspirador Robô iRobot,Casa,1,2081.11,0.0,2081.11,871.62,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND047,
63,PED-20250830-000063,90721358306,2025-08-30T07:45:57.682864,2025-09-08T07:45:57.682864,CALC-002,Bota Couro Timberland,Calçados,1,770.64,38.53,732.11,481.1,ECOMMERCE,CONCLUIDA,BOLETO,1,VND010,
64,PED-20250430-000064,71878662082,2025-04-30T09:21:57.682864,2025-05-06T09:21:57.682864,ELET-001,Smartphone Samsung Galaxy A54,Eletrônicos,1,1507.6,0.0,1507.6,966.35,ECOMMERCE,CONCLUIDA,BOLETO,1,VND020,
65,PED-20250725-000065,44034403128,2025-07-25T08:06:57.682864,2025-07-28T08:06:57.682864,ELET-005,iPad Air 5ª Geração,Eletrônicos,1,6796.67,0.0,6796.67,3127.14,APP_MOBILE,CONCLUIDA,PIX,1,VND015,
66,PED-20251025-000066,00554378698,2025-10-25T07:51:57.682864,2025-10-29T07:51:57.682864,ELET-002,Notebook Dell Inspiron 15,Eletrônicos,2,5471.54,0.0,10943.08,6954.01,APP_MOBILE,CONCLUIDA,BOLETO,1,VND008,
67,PED-20250415-000067,09601751726,2025-04-15T12:57:57.682864,2025-04-21T12:57:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,258.16,0.0,258.16,177.65,APP_MOBILE,CONCLUIDA,PIX,1,VND041,
68,PED-20250423-000068,17948442367,2025-04-23T14:56:57.682864,2025-05-02T14:56:57.682864,VEST-001,Camiseta Polo Masculina,Vestuário,1,83.32,0.0,83.32,35.77,ECOMMERCE,CONCLUIDA,PIX,1,VND024,
69,PED-20260115-000069,14897305837,2026-01-15T11:05:57.682864,2026-01-23T11:05:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,340.22,34.02,306.2,127.83,ECOMMERCE,CONCLUIDA,PIX,1,VND022,
70,PED-20250506-000070,77767235416,2025-05-06T03:28:57.682864,2025-05-12T03:28:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,481.17,96.23,384.94,187.03,LOJA_FISICA,CONCLUIDA,PIX,1,VND018,LOJA12
71,PED-20251027-000071,25028456615,2025-10-27T11:06:57.682864,,CALC-002,Bota Couro Timberland,Calçados,1,663.47,0.0,663.47,420.78,ECOMMERCE,CANCELADA,CARTAO_DEBITO,1,VND043,
72,PED-20251005-000072,89729244740,2025-10-05T06:45:57.682864,2025-10-09T06:45:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,2,579.78,115.96,1043.6,660.08,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND033,
73,PED-20250708-000073,27291186838,2025-07-08T06:53:57.682864,2025-07-15T06:53:57.682864,LIVR-001,Livro - O Poder do Hábito,Livros,1,50.41,0.0,50.41,20.87,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND010,
74,PED-20250625-000074,04178441159,2025-06-25T01:45:57.682864,2025-06-29T01:45:57.682864,CALC-001,Tênis Nike Air Max 270,Calçados,1,478.24,95.65,382.59,208.75,APP_MOBILE,CONCLUIDA,BOLETO,1,VND019,
75,PED-20251118-000075,17948442367,2025-11-18T04:04:57.682864,2025-11-24T04:04:57.682864,CALC-001,Tênis Nike Air Max 270,Calçados,1,836.48,0.0,836.48,587.15,ECOMMERCE,CONCLUIDA,PIX,1,VND038,
76,PED-20260207-000076,88483781611,2026-02-07T05:37:57.682864,2026-02-13T05:37:57.682864,LIVR-001,Livro - O Poder do Hábito,Livros,1,44.47,4.45,40.02,16.94,ECOMMERCE,CONCLUIDA,BOLETO,1,VND033,
77,PED-20250502-000077,24824467594,2025-05-02T14:00:57.682864,2025-05-12T14:00:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,208.71,0.0,208.71,152.73,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,1,VND031,
78,PED-20250802-000078,50006890032,2025-08-02T09:27:57.682864,2025-08-08T09:27:57.682864,CALC-002,Bota Couro Timberland,Calçados,1,611.11,0.0,611.11,355.66,LOJA_FISICA,CONCLUIDA,CARTAO_CREDITO,2,VND030,LOJA02
79,PED-20260215-000079,74610487160,2026-02-15T10:48:57.682864,2026-02-18T10:48:57.682864,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,114.09,0.0,114.09,66.16,ECOMMERCE,CONCLUIDA,PIX,1,VND011,
80,PED-20250816-000080,85207275739,2025-08-16T06:15:57.682864,2025-08-23T06:15:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,128.46,0.0,128.46,57.79,ECOMMERCE,DEVOLVIDA,PIX,1,VND049,
81,PED-20250628-000081,96815399907,2025-06-28T02:29:57.682864,2025-07-03T02:29:57.682864,ELET-002,Notebook Dell Inspiron 15,Eletrônicos,1,4690.36,0.0,4690.36,3426.42,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,3,VND039,
82,PED-20250505-000082,01677527234,2025-05-05T03:41:57.682864,,BELE-001,Perfume Natura Essencial,Beleza,1,259.35,0.0,259.35,128.43,APP_MOBILE,CANCELADA,CARTAO_CREDITO,1,VND002,
83,PED-20251112-000083,11340986000,2025-11-12T09:00:57.682864,2025-11-15T09:00:57.682864,LIVR-001,Livro - O Poder do Hábito,Livros,1,45.74,0.0,45.74,24.7,ECOMMERCE,CONCLUIDA,PIX,1,VND010,
84,PED-20250828-000084,00554378698,2025-08-28T07:11:57.682864,2025-09-01T07:11:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,528.02,0.0,528.02,258.06,ECOMMERCE,CONCLUIDA,PIX,1,VND019,
85,PED-20251211-000085,04433772003,2025-12-11T13:46:57.682864,2025-12-17T13:46:57.682864,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,166.95,0.0,166.95,86.63,LOJA_FISICA,CONCLUIDA,BOLETO,1,VND019,LOJA09
86,PED-20250806-000086,90721358306,2025-08-06T04:03:57.682864,2025-08-14T04:03:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,1,433.25,0.0,433.25,230.88,LOJA_FISICA,DEVOLVIDA,CARTAO_CREDITO,2,VND041,LOJA18
87,PED-20250526-000087,28740709124,2025-05-26T07:20:57.682864,2025-06-03T07:20:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,163.58,32.72,130.86,96.28,LOJA_FISICA,CONCLUIDA,PIX,1,VND002,LOJA09
88,PED-20250809-000088,80832357170,2025-08-09T11:19:57.682864,2025-08-15T11:19:57.682864,ELET-002,Notebook Dell Inspiron 15,Eletrônicos,1,3474.06,347.41,3126.65,1314.84,ECOMMERCE,CONCLUIDA,PIX,1,VND013,
89,PED-20250911-000089,00554378698,2025-09-11T01:08:57.682864,2025-09-18T01:08:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,168.8,0.0,168.8,125.68,ECOMMERCE,CONCLUIDA,PIX,1,VND007,
90,PED-20260214-000090,92623542821,2026-02-14T12:24:57.682864,2026-02-22T12:24:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,265.6,0.0,265.6,113.56,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,12,VND013,
91,PED-20250421-000091,52406481239,2025-04-21T01:19:57.682864,2025-04-27T01:19:57.682864,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,151.24,0.0,151.24,80.24,LOJA_FISICA,CONCLUIDA,BOLETO,1,VND047,LOJA20
92,PED-20250505-000092,50159279836,2025-05-05T07:49:57.682864,2025-05-12T07:49:57.682864,CASA-001,Cafeteira Nespresso Essenza,Casa,1,455.49,22.77,432.72,206.34,TELEVENDAS,CONCLUIDA,CARTAO_CREDITO,12,VND039,
93,PED-20250514-000093,51238477909,2025-05-14T02:15:57.682864,2025-05-20T02:15:57.682864,ESPO-001,Bicicleta Caloi 21 Marchas,Esportes,1,1769.97,0.0,1769.97,909.63,ECOMMERCE,CONCLUIDA,CARTAO_CREDITO,2,VND035,
94,PED-20251016-000094,41474669662,2025-10-16T09:11:57.682864,2025-10-21T09:11:57.682864,VEST-001,Camiseta Polo Masculina,Vestuário,1,233.27,0.0,233.27,145.16,APP_MOBILE,CONCLUIDA,CARTAO_CREDITO,1,VND026,
95,PED-20250522-000095,50006890032,2025-05-22T09:49:57.682864,2025-05-26T09:49:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,161.22,0.0,161.22,92.41,TELEVENDAS,CONCLUIDA,BOLETO,1,VND033,
96,PED-20260206-000096,80236337246,2026-02-06T02:29:57.682864,2026-02-11T02:29:57.682864,BELE-001,Perfume Natura Essencial,Beleza,1,201.35,0.0,201.35,105.44,ECOMMERCE,CONCLUIDA,PIX,1,VND048,
97,PED-20251031-000097,93263060546,2025-10-31T04:12:57.682864,2025-11-05T04:12:57.682864,ELET-004,Fone JBL Tune 760NC,Eletrônicos,1,575.59,0.0,575.59,323.46,ECOMMERCE,CONCLUIDA,CARTAO_DEBITO,1,VND005,
98,PED-20250623-000098,71534514805,2025-06-23T04:27:57.682864,2025-06-29T04:27:57.682864,VEST-002,Vestido Social Feminino,Vestuário,1,163.6,0.0,163.6,66.75,ECOMMERCE,CONCLUIDA,CARTAO_DEBITO,1,VND018,
99,PED-20251018-000099,89729244740,2025-10-18T09:06:57.682864,,CASA-001,Cafeteira Nespresso Essenza,Casa,1,589.6,0.0,589.6,384.4,ECOMMERCE,PENDENTE,BOLETO,1,VND016,
100,PED-20251216-000100,91292648473,2025-12-16T10:15:57.682864,2025-12-23T10:15:57.682864,CALC-001,Tênis Nike Air Max 270,Calçados,1,765.66,0.0,765.66,400.39,LOJA_FISICA,CONCLUIDA,BOLETO,1,VND048,LOJA16
101,PED-20250717-000101,96505235701,2025-07-17T11:32:57.682864,2025-07-24T11:32:57.682864,CALC-001,Tênis Nike Air Max 270,Calçados,2,640.41,256.16,1024.66,707.08,ECOMMERCE,CONCLUIDA,PIX,1,VND013,
102,PED-20260310-000102,71878662082,2026-03-10T03:56:57.682864,2026-03-16T03:56:57.682864,ELET-001,Smartphone Samsung Galaxy A54,Eletrônicos,1,1645.15,164.52,1480.63,651.5,ECOMMERCE,CONCLUIDA,PIX,1,VND013,
103,PED-20260207-000103,34356977173,2026-02-07T02:41:57.682864,2026-02-10T02:41:57.682864,CASA-002,Aspirador Robô iRobot,Casa,1,2975.01,0.0,2975.01,1286.17,LOJA_FISICA,CONCLUIDA,BOLETO,1,VND027,LOJA14
104,PED-20251023-000104,84230393407,2025-10-23T03:58:57.682864,2025-11-01T03:58:57.682864,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,107.85,0.0,107.85,77.37,TELEVENDAS,CONCLUIDA,BOLETO,1,VND039,
105,PED-20250428-000105,90480458863,2025-04-28T11:34:57.682864,2025-05-03T11:34:57.682864,ALIM-001,Kit Chocolate Belga Importado,Alimentação,1,117.61,11.76,105.85,46.66,TELEVENDAS,CONCLUIDA,PIX,1,VND003,
106,PED-20251026-000106,50159279836,2025-10-26T12:14:57.682864,,CASA-001,Cafeteira Nespresso Essenza,Casa,1,652.93,0.0,652.93,297.45,LOJA_FISICA,CANCELADA,CARTAO_CREDITO,3,VND023,LOJA05
107,PED-20250530-000107,55417338044,2025-05-30T08:17:57.682864,,BELE-001,Perfume Natura Essencial,Beleza,1,162.96,0.0,162.96,70.81,LOJA_FISICA,CANCELADA,BOLETO,1,VND046,LOJA02
108,PED-20250606-000108,28791157447,2025-06-06T10:30:57.682864,2025-06-16T10:30:57.682864,ELET-002,Notebook Dell Inspiron 15,Eletrônicos,1,3620.47,0.0,3620.47,2702.15,LOJA_FISICA,CONCLUIDA,PIX,1,VND022,LOJA06
